molecule_id,created_on,updated_on,hid,smiles,commercially_available,CAS,molecule_type_id
6bf2b5a1-c157-4b5a-8a80-bf0b44704273,2022-01-18T12:59:55.557052,2022-01-18T12:59:55.557052,A001,CC1(C)OB(c2ccc(-n3c4ccccc4c4ccccc43)cc2)OC1(C)C,True,785051-54-9,2d012b56-8260-4f9e-8ede-2c8546baf21c
b2272f91-8f3d-41a5-87d4-8c473af1da0e,2022-01-18T13:00:03.958016,2022-01-18T13:00:03.958016,A002,CC1(C)OB(c2ccc(N(c3ccccc3)c3ccccc3)cc2)OC1(C)C,True,267221-88-5,2d012b56-8260-4f9e-8ede-2c8546baf21c
64ee9f15-7a47-4297-9e10-abc3c434c4e9,2022-01-18T13:00:12.229953,2022-01-18T13:00:12.229953,A003,COc1ccc(N(c2ccc(OC)cc2)c2ccc(B3OC(C)(C)C(C)(C)O3)cc2)cc1,True,875667-84-8,2d012b56-8260-4f9e-8ede-2c8546baf21c
c669230e-aeb4-47db-8948-cadbdea4f198,2022-01-18T13:00:20.943680,2022-01-18T13:00:20.943680,A004,CC(C)(C)OC(=O)N(c1ccccc1)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,True,1218791-29-7,2d012b56-8260-4f9e-8ede-2c8546baf21c
a8c81cfc-70df-4779-80d8-057b62224b10,2022-01-18T13:00:29.280195,2022-01-18T13:00:29.280195,A005,OB(O)c1ccc(N(c2ccccc2)c2ccc(-c3ccccc3)cc2)cc1,True,1084334-86-0,2d012b56-8260-4f9e-8ede-2c8546baf21c
f607a1d6-e065-42da-8fbe-39be80f5d9c8,2022-01-18T13:00:37.558186,2022-01-18T13:00:37.558186,A006,OB(O)c1ccc2c3ccccc3n(-c3ccc(-c4ccccc4)cc3)c2c1,True,1028648-22-7,2d012b56-8260-4f9e-8ede-2c8546baf21c
f3209e2a-1cbf-461d-945b-768fa8238f71,2022-01-18T13:00:45.807368,2022-01-18T13:00:45.807368,A007,OB(O)c1ccc2c(c1)c1cc(-c3ccccc3)ccc1n2-c1ccccc1,True,1133058-06-6,2d012b56-8260-4f9e-8ede-2c8546baf21c
c6b85389-1f54-4323-9abd-1c1685b29d94,2022-01-18T13:01:09.176952,2022-01-18T13:01:09.176952,A008,CC1(C)OB(c2ccc3c(c2)c2ccccc2n3-c2ccccc2)OC1(C)C,True,1126522-69-7,2d012b56-8260-4f9e-8ede-2c8546baf21c
ece76d8c-3284-431a-aa10-38fd47213859,2022-01-18T13:01:33.211641,2022-01-18T13:01:33.211641,A009,OB(O)c1cccc(N(c2ccccc2)c2ccccc2)c1,True,943899-12-5,2d012b56-8260-4f9e-8ede-2c8546baf21c
d578c1ee-cabe-4a68-b452-6f747f4a3a64,2022-01-18T13:01:41.261730,2022-01-18T13:01:41.261730,A010,OB(O)c1cccc(-n2c3ccccc3c3ccccc32)c1,True,864377-33-3,2d012b56-8260-4f9e-8ede-2c8546baf21c
